Date,Team
1999-02-01,Boston University
1999-02-13,Providence
1999-02-27,Massachusetts
1999-03-11,Maine
1999-03-19,Boston College
1999-04-01,Maine
1999-12-03,Northeastern
2000-02-04,Providence
2000-02-11,Boston College
2000-02-14,Boston University
2000-02-18,Providence
2000-02-19,Boston University
2000-03-05,Boston College
2000-03-18,Maine
2000-11-03,Providence
2000-11-11,New Hampshire
2001-01-20,Northeastern
2001-02-02,Providence
2001-02-10,New Hampshire
2001-02-16,Boston College
2001-02-18,New Hampshire
2001-03-02,Massachusetts
2001-03-03,New Hampshire
2001-03-09,Mass.-Lowell
2001-03-16,Boston College
2001-10-19,Mass.-Lowell
2001-11-03,Maine
2001-11-09,Boston University
2001-11-17,Boston College
2001-11-30,New Hampshire
2002-01-13,Providence
2002-02-01,Northeastern
2002-02-11,Boston University
2002-03-01,Maine
2002-03-16,New Hampshire
2002-04-04,Maine
2003-01-03,Providence
2003-01-05,Massachusetts
2003-01-11,Merrimack
2003-01-18,Maine
2003-02-01,New Hampshire
2003-02-02,Maine
2003-02-07,Boston College
2003-02-10,Boston University
2003-02-21,Providence
2003-03-07,Boston University
2003-03-15,New Hampshire
2003-11-14,Providence
2003-11-15,Massachusetts
2004-01-16,Maine
2004-01-17,Massachusetts
2004-02-07,New Hampshire
2004-02-27,Boston College
2004-02-28,New Hampshire
2004-03-06,Boston University
2004-03-12,Boston College
2004-03-13,Boston University
2004-03-19,Maine
2004-10-31,Boston University
2004-11-05,New Hampshire
2004-11-07,Maine
2004-11-12,Northeastern
2004-11-19,New Hampshire
2004-11-27,Vermont
2005-11-04,Boston University
2005-11-11,New Hampshire
2005-11-19,Mass.-Lowell
2005-12-03,Vermont
2006-01-06,New Hampshire
2006-01-21,Massachusetts
2006-01-27,Mass.-Lowell
2006-01-28,Boston College
2006-02-03,Massachusetts
2006-02-10,Boston University
2006-02-17,New Hampshire
2006-02-18,Boston University
2006-03-25,Boston College
2006-10-31,Providence
2006-11-03,Massachusetts
2006-11-21,Vermont
2006-12-03,New Hampshire
2007-01-20,Massachusetts
2007-02-03,Mass.-Lowell
2007-02-22,Boston College
2007-11-10,New Hampshire
2007-11-16,Northeastern
2008-01-11,Merrimack
2008-01-12,Northeastern
2008-01-19,Vermont
2008-02-01,New Hampshire
2008-03-08,Vermont
2008-03-15,Northeastern
2008-03-16,Vermont
2008-03-22,Boston College
2008-10-18,Northeastern
2008-10-31,New Hampshire
2008-11-14,Mass.-Lowell
2008-11-22,Northeastern
2009-01-17,Vermont
