Date,Team
2010-12-04,Providence
2011-03-05,Merrimack
2011-03-11,Maine
2011-10-09,Northeastern
2011-10-14,New Hampshire
2011-10-29,Northeastern
2011-11-18,Providence
2011-12-02,Merrimack
2011-12-07,Vermont
2012-01-13,Mass.-Lowell
2012-01-20,Northeastern
2012-01-27,Vermont
2012-02-17,New Hampshire
2012-02-18,Vermont
2012-11-03,Providence
2012-11-16,Northeastern
2012-11-30,Massachusetts
2012-12-01,Northeastern
2013-01-18,Boston University
2013-01-25,Providence
2013-02-13,New Hampshire
2013-02-22,Vermont
2013-03-02,Boston University
2013-03-08,Northeastern
2013-11-09,Mass.-Lowell
2014-01-18,Boston University
2014-01-24,Vermont
2014-01-25,Boston University
2014-02-28,Northeastern
2014-03-15,New Hampshire
2014-03-16,Northeastern
2014-11-15,New Hampshire
2014-12-13,Maine
2015-01-10,Massachusetts
2015-01-16,New Hampshire
2015-01-17,Massachusetts
2015-01-25,Merrimack
2015-01-30,Mass.-Lowell
2015-01-31,Merrimack
2015-03-06,Northeastern
2016-01-15,New Hampshire
2016-01-30,Providence
2016-02-05,Maine
2016-02-20,Merrimack
2016-02-26,Vermont
2016-03-04,Connecticut
2016-11-19,Boston University
2016-12-02,Providence
2017-01-14,Vermont
2017-01-20,Connecticut
2017-01-27,Vermont
2017-02-11,New Hampshire
2017-03-04,Merrimack
2017-10-28,Massachusetts
2017-11-09,Providence
2017-11-11,Massachusetts
2017-12-01,Connecticut
2017-12-05,Massachusetts
2018-01-13,Vermont
2018-01-20,Mass.-Lowell
2018-01-26,Boston College
2018-01-27,Mass.-Lowell
2018-02-24,Merrimack
2018-03-02,Mass.-Lowell
2018-11-03,Maine
2018-11-17,Boston University
2018-11-23,Connecticut
2019-02-07,Northeastern
2019-02-11,Boston College
2019-03-01,Northeastern
2019-03-02,Boston College
2019-03-16,Providence
2019-10-05,Maine
2019-10-25,Vermont
2020-02-28,Northeastern
2020-03-07,Boston University
2021-01-09,Providence
2021-01-16,Maine
2021-02-26,Connecticut
2021-02-27,Maine
2021-11-12,Merrimack
2021-11-13,Maine
2022-01-28,Boston College
2022-02-18,Northeastern
2022-02-19,Boston College
2022-02-27,Boston University
2022-03-04,Maine
2022-03-05,Boston University
2022-10-22,Connecticut
2022-10-27,Boston College
2022-11-12,Northeastern
2022-11-18,Boston University
2022-11-19,Northeastern
2023-01-07,Connecticut
2023-01-20,Massachusetts
2023-02-03,Providence
2023-02-05,Vermont
2023-03-02,New Hampshire
2023-10-13,Boston University
2023-10-27,Massachusetts
2023-11-03,Northeastern
2023-12-01,Boston College
2023-12-02,Northeastern
2024-01-13,Vermont
2024-01-26,New Hampshire
2024-01-27,Vermont
2024-02-17,Merrimack
2024-03-01,Providence
2024-10-25,Vermont
2024-11-02,Connecticut
2024-11-03,Vermont
2024-11-09,Massachusetts
2024-11-16,Providence
2024-12-28,Northeastern
2025-01-11,Massachusetts
2025-01-18,Merrimack
2025-01-25,Northeastern
