Date,Team
2006-10-20,Alaska
2010-02-26,Alaska-Anchorage
2011-02-26,Alaska
2012-02-25,Alaska-Anchorage
2013-12-06,Alaska
2013-12-07,Alaska-Anchorage
2014-03-08,Alaska
2014-03-13,Alaska-Anchorage
2014-03-14,Alaska
2015-03-06,Alaska-Anchorage
2016-12-09,Alaska
2016-12-10,Alaska-Anchorage
2018-02-23,Alaska
2019-02-09,Alaska-Anchorage
2019-10-26,Alaska
2020-02-28,Alaska-Anchorage
2023-02-25,Long Island
2023-02-26,Alaska-Anchorage
2023-02-28,Long Island
2023-10-14,Stonehill
2024-02-10,Lindenwood
