Date,Team
1994-02-18,Cornell
1994-02-19,St. Lawrence
1994-02-25,Dartmouth
1994-02-26,Clarkson
1994-11-18,Princeton
1994-11-19,St. Lawrence
1994-12-03,Clarkson
1995-01-07,Harvard
1995-02-03,Princeton
1995-02-11,Clarkson
1995-02-17,Cornell
1995-02-18,St. Lawrence
1995-03-03,Harvard
1995-03-04,Clarkson
1995-03-17,Princeton
1995-11-10,Clarkson
1996-01-05,Colgate
1996-01-06,St. Lawrence
1996-02-17,Princeton
1996-03-05,Brown
1996-03-08,Clarkson
1996-03-15,Cornell
1996-11-22,Yale
1996-11-23,Colgate
1996-12-03,Cornell
1997-01-04,Clarkson
1997-03-15,Cornell
1997-11-22,Yale
1998-01-11,Dartmouth
1998-01-16,Clarkson
1998-01-30,Cornell
1998-01-31,St. Lawrence
1998-02-06,Dartmouth
1998-02-07,Clarkson
1998-03-21,Princeton
1999-01-08,Dartmouth
1999-01-15,St. Lawrence
1999-01-23,Clarkson
1999-03-05,Colgate
1999-03-18,Princeton
1999-03-19,Clarkson
1999-11-12,Union
1999-11-13,St. Lawrence
1999-11-19,Cornell
1999-11-20,Clarkson
2000-01-21,St. Lawrence
2000-02-19,Brown
2000-02-26,Princeton
2000-03-04,Cornell
2000-03-17,St. Lawrence
2000-11-18,Clarkson
2000-11-25,Cornell
2001-01-13,Dartmouth
2001-01-19,Clarkson
2001-01-26,Cornell
2001-01-27,St. Lawrence
2001-02-02,Princeton
2001-02-03,Clarkson
2001-02-09,Union
2001-02-10,St. Lawrence
2001-02-17,Harvard
2001-02-24,Union
2001-03-02,Colgate
2001-03-03,Rensselaer
2001-03-09,Dartmouth
2001-03-16,St. Lawrence
2001-11-03,Clarkson
2002-01-25,Cornell
2002-02-15,Dartmouth
2002-02-23,Yale
2002-03-08,Cornell
2002-03-16,Harvard
2002-11-02,Brown
2002-11-15,Clarkson
2002-11-16,Harvard
2002-11-22,Cornell
2003-01-30,Colgate
2003-02-01,Cornell
2004-01-10,Brown
2004-02-14,Rensselaer
2004-02-20,Cornell
2004-02-21,Union
2004-03-05,Clarkson
2004-03-12,Cornell
2004-03-13,Clarkson
2004-03-20,Harvard
2004-11-05,Cornell
2004-11-20,Dartmouth
2005-01-08,Union
2005-01-14,Cornell
2005-11-12,Dartmouth
2005-11-25,St. Lawrence
2005-11-26,Harvard
2005-12-04,Yale
2006-01-27,Colgate
2006-02-03,Cornell
2006-02-10,Clarkson
