Date,Team
2017-01-21,Dartmouth
2017-01-28,Cornell
2017-02-03,Union
2017-02-04,Colgate
2017-02-11,Brown
2017-10-27,Yale
2017-10-28,Brown
2017-11-11,St. Lawrence
2018-01-26,Brown
2018-02-23,Harvard
2018-03-10,Dartmouth
2018-10-27,Harvard
2018-11-10,Brown
2018-12-08,Rensselaer
2019-01-11,St. Lawrence
2019-02-01,Princeton
2019-02-09,Yale
2019-02-15,Colgate
2019-02-22,Union
2019-03-01,Dartmouth
2019-03-02,Rensselaer
2019-10-25,Union
2019-10-26,Rensselaer
2019-11-08,St. Lawrence
2019-11-09,Union
2019-11-16,Princeton
2020-01-11,St. Lawrence
2020-02-22,Harvard
2020-02-29,Union
2020-03-06,Yale
2020-03-07,Union
2021-11-05,Clarkson
2021-11-12,Harvard
2021-11-23,Brown
2021-12-03,Harvard
2021-12-04,Yale
2021-12-10,Brown
2022-01-22,Rensselaer
2022-01-25,Harvard
2022-01-28,Colgate
2022-01-29,Dartmouth
2022-02-12,Yale
2022-02-18,Union
2022-02-25,Harvard
2022-02-26,Rensselaer
2022-03-05,Dartmouth
2022-11-04,Yale
2023-01-13,Rensselaer
2023-01-20,Clarkson
2023-01-21,Union
2023-01-28,Rensselaer
2023-02-04,Colgate
2023-02-17,St. Lawrence
2023-02-18,Cornell
2023-02-24,Brown
2023-11-03,Colgate
2023-11-04,Yale
2023-11-17,St. Lawrence
2023-12-01,Dartmouth
2024-01-20,Rensselaer
2024-02-02,Brown
2024-11-22,Clarkson
2024-11-23,Yale
2025-01-10,Dartmouth
2025-01-11,Brown
2025-01-17,St. Lawrence
2025-01-25,Clarkson
2025-02-07,Princeton
2025-02-28,St. Lawrence
