Date,Team
2017-03-25,Minnesota
2017-10-15,Penn State
2017-10-27,Michigan
2017-10-28,Penn State
2017-11-24,Michigan State
2017-12-08,Michigan
2018-01-02,Michigan State
2018-01-12,Wisconsin
2018-01-13,Michigan State
2018-02-03,Ohio State
2018-02-10,Notre Dame
2018-02-23,Michigan State
2018-02-24,Notre Dame
2018-03-10,Penn State
2018-11-17,Michigan
2019-01-05,Notre Dame
2019-01-18,Wisconsin
2019-01-26,Minnesota
2019-02-02,Michigan
2019-02-08,Michigan State
2019-02-15,Penn State
2019-02-16,Michigan State
2019-03-02,Ohio State
2019-11-01,Michigan
2019-12-01,Wisconsin
2020-01-11,Ohio State
2020-01-18,Notre Dame
2020-01-25,Wisconsin
2020-02-14,Penn State
2020-02-15,Wisconsin
2020-02-28,Ohio State
2020-03-06,Wisconsin
2020-11-13,Notre Dame
2020-11-27,Michigan
2020-12-02,Penn State
2020-12-03,Michigan
2021-01-08,Michigan State
2021-01-09,Michigan
2021-01-15,Ohio State
2021-01-23,Michigan State
2021-01-24,Ohio State
2021-02-19,Michigan
2021-02-20,Ohio State
2021-10-30,Michigan State
2021-11-19,Wisconsin
2021-12-10,Penn State
2021-12-11,Wisconsin
2022-01-14,Michigan State
2022-02-26,Penn State
2022-03-05,Ohio State
2022-10-07,Wisconsin
2022-12-02,Michigan
2022-12-03,Wisconsin
2023-01-06,Notre Dame
2023-01-07,Wisconsin
2023-01-20,Ohio State
2023-01-21,Wisconsin
2023-02-11,Minnesota
2023-02-17,Penn State
2023-02-24,Wisconsin
2023-02-25,Penn State
2023-03-04,Ohio State
2023-03-05,Penn State
2023-11-18,Michigan
2023-12-02,Notre Dame
2024-01-13,Ohio State
2024-02-16,Wisconsin
2024-02-23,Penn State
2024-03-01,Ohio State
2024-03-08,Wisconsin
2024-03-09,Ohio State
2024-03-10,Wisconsin
2024-11-02,Notre Dame
2025-01-11,Michigan
2025-01-17,Michigan State
2025-01-18,Michigan
2025-02-01,Penn State
2025-02-07,Wisconsin
2025-02-21,Notre Dame
