Date,Team
1996-01-14,Colorado College
1996-11-01,St. Cloud State
1996-11-02,Colorado College
1996-12-07,North Dakota
1997-01-10,St. Cloud State
1997-01-11,North Dakota
1997-01-26,Colorado College
1997-02-02,St. Cloud State
1997-02-21,Minnesota-Duluth
1997-03-07,Denver
1997-03-13,Colorado College
1997-03-14,North Dakota
1997-11-15,Minnesota-Duluth
1998-01-30,Colorado College
1998-01-31,Minnesota-Duluth
1998-02-27,North Dakota
1998-02-28,Minnesota-Duluth
1998-03-19,St. Cloud State
1998-03-20,North Dakota
1998-11-20,Colorado College
1998-11-21,North Dakota
1999-02-13,Denver
1999-02-19,Colorado College
1999-02-20,Denver
1999-11-19,Colorado College
2000-01-08,North Dakota
2000-02-04,St. Cloud State
2000-02-26,Colorado College
2000-11-10,St. Cloud State
2001-01-26,North Dakota
2001-03-09,Minnesota-Duluth
2001-03-10,North Dakota
2001-03-17,St. Cloud State
2001-11-10,Colorado College
2001-12-07,St. Cloud State
2001-12-08,Colorado College
2002-03-15,Denver
2002-11-08,Minnesota-Duluth
2002-11-09,Denver
2002-12-06,Colorado College
2003-02-14,St. Cloud State
2003-02-15,Colorado College
2003-11-07,Denver
2003-11-08,Colorado College
2003-12-05,St. Cloud State
2003-12-06,Colorado College
2004-01-16,Minnesota-Duluth
2004-02-27,North Dakota
2004-03-27,Denver
2004-11-12,Colorado College
2004-11-13,Denver
2005-02-19,Minnesota-Duluth
2005-03-11,North Dakota
2005-03-18,Denver
2005-10-28,North Dakota
2005-10-29,Denver
2006-01-13,St. Cloud State
2006-01-14,Denver
2006-02-24,North Dakota
2006-02-25,Denver
2006-03-10,Minnesota-Duluth
2006-03-11,Denver
2006-03-12,Minnesota-Duluth
2006-03-16,St. Cloud State
2006-03-18,North Dakota
2006-11-24,Colorado College
2006-11-25,North Dakota
2007-01-05,Colorado College
2007-01-06,North Dakota
2007-02-23,Denver
2007-02-24,North Dakota
2007-11-03,Colorado College
2007-11-24,Denver
2007-12-01,North Dakota
2008-01-04,St. Cloud State
2008-01-05,North Dakota
2008-03-21,Denver
2008-11-02,Colorado College
2008-11-07,North Dakota
2008-11-08,Colorado College
2008-12-06,Minnesota-Duluth
2009-01-09,St. Cloud State
2009-01-31,North Dakota
2009-03-20,Minnesota-Duluth
2009-03-28,Miami
2010-11-26,Western Michigan
2010-11-27,Miami
2010-12-30,St. Cloud State
2011-02-19,North Dakota
2011-10-28,St. Cloud State
2011-10-29,North Dakota
2012-01-20,St. Cloud State
2012-01-21,North Dakota
2012-02-11,Minnesota-Duluth
2012-03-02,St. Cloud State
2012-03-15,North Dakota
2012-11-10,St. Cloud State
2012-11-23,Minnesota-Duluth
2012-11-24,St. Cloud State
2013-02-22,Colorado College
2013-02-23,St. Cloud State
2013-11-08,Miami
2013-11-09,St. Cloud State
2014-01-11,Denver
2014-01-24,North Dakota
2014-01-25,Denver
2014-02-08,St. Cloud State
2014-02-21,Miami
2014-02-22,St. Cloud State
2014-02-28,North Dakota
2014-03-01,St. Cloud State
2014-03-14,Miami
2014-03-22,Denver
2014-10-25,Minnesota-Duluth
2014-10-31,Miami
2014-11-01,Minnesota-Duluth
2015-01-10,North Dakota
2015-03-07,Miami
2015-03-14,Western Michigan
2015-03-15,Miami
2015-10-30,St. Cloud State
2015-11-20,North Dakota
2015-11-21,St. Cloud State
2016-01-09,Colorado College
2016-01-23,North Dakota
2016-02-12,Denver
2016-03-18,St. Cloud State
2016-11-04,Minnesota-Duluth
2016-11-11,Western Michigan
2016-11-12,Minnesota-Duluth
2016-12-09,Denver
2016-12-10,Minnesota-Duluth
2017-01-07,Colorado College
2017-01-20,Western Michigan
2017-01-28,Miami
2017-02-10,St. Cloud State
2017-02-24,Denver
2017-03-17,North Dakota
2017-03-18,Minnesota-Duluth
2017-04-08,Denver
2017-11-03,Western Michigan
2017-11-10,Minnesota-Duluth
2017-11-11,Western Michigan
2017-12-01,North Dakota
2017-12-09,St. Cloud State
2018-01-12,Western Michigan
2018-01-13,St. Cloud State
2018-01-26,Minnesota-Duluth
2018-01-27,St. Cloud State
2018-03-10,Miami
2018-03-11,St. Cloud State
2018-03-17,Denver
2018-11-09,St. Cloud State
2019-01-11,Minnesota-Duluth
2019-01-12,St. Cloud State
2019-01-26,North Dakota
2019-02-01,Denver
2019-02-15,Minnesota-Duluth
2019-02-16,Denver
2019-02-22,Miami
2019-02-23,Denver
2019-03-08,Colorado College
2019-03-17,Western Michigan
2019-03-18,Colorado College
2019-03-22,St. Cloud State
2019-03-23,Minnesota-Duluth
2019-11-15,Miami
2019-11-16,Minnesota-Duluth
2020-01-17,St. Cloud State
2020-01-24,Western Michigan
2020-02-22,Minnesota-Duluth
2020-12-13,Colorado College
2020-12-18,St. Cloud State
2021-01-02,Minnesota-Duluth
2021-01-03,St. Cloud State
2021-01-15,Western Michigan
2021-01-23,Minnesota-Duluth
2021-02-12,Western Michigan
2021-03-13,Minnesota-Duluth
