Date,Team
2008-12-05,Holy Cross
2008-12-06,Bentley
2009-01-09,Canisius
2009-01-16,Air Force
2009-01-23,Army
2009-02-06,Canisius
2009-02-13,American Int'l
2009-02-21,Sacred Heart
2009-02-28,Holy Cross
2009-03-07,American Int'l
2009-10-30,Holy Cross
2009-11-06,Sacred Heart
2009-11-07,Holy Cross
2009-11-24,Connecticut
2010-01-16,RIT
2010-01-22,American Int'l
2010-02-05,Bentley
2010-02-20,Connecticut
2010-02-27,Mercyhurst
2010-11-05,Air Force
2010-11-07,RIT
2010-11-12,Connecticut
2010-11-20,American Int'l
2010-11-26,Mercyhurst
2010-12-03,Sacred Heart
2010-12-04,Mercyhurst
2011-01-08,Connecticut
2011-02-04,Army
2011-02-05,Connecticut
2011-02-11,Sacred Heart
2011-02-26,Army
2011-11-11,Sacred Heart
2011-11-22,Yale
2011-12-01,Brown
2011-12-03,Yale
2012-01-01,Bentley
2012-01-06,Robert Morris
2012-01-13,Holy Cross
2012-01-14,Robert Morris
2012-01-20,Connecticut
2012-01-27,Holy Cross
2012-02-03,American Int'l
2012-02-17,Army
2012-10-19,Sacred Heart
2013-02-19,Holy Cross
2013-02-23,American Int'l
2013-02-26,Army
2013-11-12,Sacred Heart
2013-11-22,Army
2013-11-26,American Int'l
2014-01-03,Air Force
2014-01-04,American Int'l
2014-01-10,Niagara
2014-01-11,American Int'l
2014-01-14,Massachusetts
2014-01-24,Merrimack
2014-01-25,Massachusetts
2014-02-07,Northeastern
2014-02-15,Massachusetts
2014-10-18,Michigan State
2014-11-01,Ferris State
2014-11-07,Northern Michigan
2014-11-08,Ferris State
2014-11-14,Alaska-Anchorage
2014-11-22,Northern Michigan
2014-11-29,Alaska
2014-12-05,Minnesota State
2014-12-06,Alaska
2015-01-02,Ferris State
2015-01-08,Alaska-Anchorage
2015-01-16,Alaska
2015-02-06,Lake Superior
2015-02-28,Northern Michigan
2015-10-16,Lake Superior
2015-10-17,Northern Michigan
2015-10-23,Michigan Tech
2015-10-24,Northern Michigan
2015-10-31,Bemidji State
2015-11-14,Alaska
2015-12-11,Alaska-Anchorage
2016-01-17,Lake Superior
2016-02-13,Bemidji State
2016-02-19,Michigan Tech
2016-02-20,Bemidji State
2016-03-05,Minnesota State
2016-03-11,Lake Superior
2016-03-12,Minnesota State
2016-03-13,Lake Superior
2016-10-14,Michigan State
2016-10-28,Princeton
2016-11-25,Bemidji State
2016-12-02,Michigan Tech
2016-12-03,Bemidji State
2016-12-10,Lake Superior
2017-01-06,Northern Michigan
2017-01-07,Lake Superior
2017-10-06,Northern Michigan
2017-10-07,Lake Superior
2017-11-03,Alaska-Anchorage
2017-11-04,Lake Superior
2017-12-02,Alaska
2017-12-08,Alaska-Anchorage
2018-02-23,Alaska
2018-11-10,Lake Superior
2018-11-16,Bowling Green
2018-11-17,Lake Superior
2018-11-23,Northern Michigan
2018-11-24,Lake Superior
2018-12-07,Alaska
2019-01-12,Bemidji State
2019-01-18,Michigan Tech
2019-01-25,Alaska-Anchorage
2019-02-08,Alaska
2019-02-09,Alaska-Anchorage
2019-10-26,Alaska
2019-11-02,Bemidji State
2019-11-08,Lake Superior
2019-11-23,Bowling Green
2019-11-29,Notre Dame
2019-12-14,Penn State
2020-01-03,Niagara
2020-01-24,Army
2020-02-01,Canisius
2020-02-08,Air Force
2020-02-22,Mercyhurst
2020-12-05,Bowling Green
2020-12-06,Mercyhurst
2020-12-18,Niagara
2021-01-03,Air Force
2021-02-01,Bentley
2021-02-16,Sacred Heart
2021-02-19,Holy Cross
2021-10-23,Bentley
2021-11-05,Canisius
2021-11-06,Bentley
2021-11-13,Air Force
2021-11-19,Sacred Heart
2021-11-20,Air Force
2021-12-03,Canisius
2021-12-09,Niagara
2021-12-10,Canisius
2022-01-07,Army
2022-01-08,Canisius
2022-01-15,Holy Cross
2022-01-21,Army
2022-01-22,Holy Cross
2022-01-30,American Int'l
2022-02-04,RIT
2022-02-18,Niagara
2022-10-07,Omaha
2022-10-14,Lake Superior
2022-10-29,Clarkson
2022-11-05,Rensselaer
2022-11-12,Dartmouth
2022-12-31,Yale
2023-01-02,Army
2023-01-13,Canisius
2023-01-14,Army
2023-01-27,Air Force
2023-01-28,Army
2023-02-03,Niagara
2023-02-09,RIT
2023-02-17,Bentley
2023-02-18,RIT
2023-02-24,Air Force
2023-10-07,Lindenwood
2023-10-08,Air Force
2023-10-12,Michigan State
2023-10-13,Air Force
2023-10-21,Alaska-Anchorage
2023-10-27,Penn State
2023-11-18,Michigan
2023-11-24,St. Cloud State
2023-12-08,Omaha
2024-01-05,Mass.-Lowell
2024-01-06,Harvard
2024-01-13,Yale
2024-01-27,Sacred Heart
2024-02-02,American Int'l
2024-02-16,Mercyhurst
2024-02-22,Niagara
2024-02-24,Mercyhurst
2024-10-11,RIT
2024-10-12,Mercyhurst
2024-11-02,Niagara
2024-11-09,Army
2024-11-15,RIT
2024-12-07,Robert Morris
2024-12-14,Canisius
2025-01-10,RIT
2025-01-18,Robert Morris
2025-02-14,Niagara
2025-02-15,Robert Morris
