Date,Team
1973-12-08,Cornell
1974-01-04,Brown
1974-01-12,Boston University
1974-01-18,Boston College
1974-01-22,Dartmouth
1974-02-07,Boston College
1974-02-11,Northeastern
1974-02-13,Brown
1974-02-23,Dartmouth
1974-02-27,Harvard
1974-03-02,Yale
1974-11-29,Providence
1974-12-30,Boston College
1975-01-05,Brown
1975-01-26,Providence
1975-03-04,Vermont
1975-03-07,Boston University
1975-03-13,Michigan Tech
1975-11-01,North Dakota
1975-11-07,Michigan
1975-11-14,Notre Dame
1975-11-15,Michigan
1975-11-22,Michigan Tech
1975-12-30,Michigan
1976-01-02,Colorado College
1976-01-09,Michigan Tech
1976-01-23,Wisconsin
1976-01-24,Michigan Tech
1976-02-14,Notre Dame
1976-02-20,Michigan State
1976-02-21,Notre Dame
1976-02-28,Minnesota-Duluth
1976-03-06,Michigan Tech
1976-03-27,Minnesota
1976-11-05,Michigan
1976-11-13,Notre Dame
1976-11-27,Wisconsin
1976-12-11,North Dakota
1977-01-07,Michigan Tech
1977-01-08,North Dakota
1977-01-14,Wisconsin
1977-01-28,Michigan State
1977-01-29,Wisconsin
1977-02-05,Michigan
1977-03-12,Denver
1977-12-02,North Dakota
1977-12-03,Denver
1977-12-16,Minnesota
1977-12-17,Denver
1978-01-06,North Dakota
1978-01-07,Denver
1978-01-27,Michigan
1978-01-28,Denver
1978-02-25,Minnesota
1978-03-03,North Dakota
1978-03-04,Minnesota
1978-03-11,Colorado College
1978-03-15,Denver
1978-11-18,Michigan
1978-11-24,Notre Dame
1978-12-09,Wisconsin
1979-01-06,Michigan State
1979-02-02,Minnesota
1979-02-03,Michigan State
1979-02-23,North Dakota
1979-02-24,Michigan State
1979-10-26,Minnesota
1979-10-27,Michigan State
1979-11-02,Wisconsin
1979-11-03,Michigan State
1979-11-23,North Dakota
1979-11-24,Michigan State
1979-11-30,Michigan
1979-12-01,Michigan State
1979-12-18,Colorado College
1979-12-21,Harvard
1980-01-04,Vermont
1980-02-09,Yale
1980-02-16,Boston University
1980-02-19,Maine
1980-02-21,Boston College
1980-03-01,Providence
1980-03-05,Cornell
1980-03-28,Northern Michigan
1980-03-29,North Dakota
1980-10-18,Northern Michigan
1981-03-07,Bowling Green
1981-10-16,North Dakota
1981-10-31,Providence
1981-12-13,Harvard
1981-12-29,Western Michigan
1982-12-03,Michigan
1982-12-10,Ferris State
1982-12-11,Michigan
1982-12-28,Michigan State
1983-03-04,Ferris State
1983-03-05,Michigan State
1983-03-18,Harvard
1983-03-26,Wisconsin
1983-10-21,North Dakota
1983-11-18,Minnesota
1984-01-06,Minnesota-Duluth
1984-02-10,Minnesota
1984-02-11,Minnesota-Duluth
1984-03-10,North Dakota
1984-03-22,Minnesota-Duluth
1984-03-24,Bowling Green
1984-10-12,Ferris State
1984-10-19,Michigan
1984-10-27,Bowling Green
1984-11-02,Ohio State
1984-11-03,Bowling Green
1984-11-09,Clarkson
1984-12-28,Lake Superior
1984-12-29,Colgate
1985-01-04,Northern Michigan
1985-01-11,New Hampshire
1985-01-22,Yale
1985-02-16,Clarkson
1985-03-02,Harvard
1985-03-09,Colgate
1985-11-15,Army
1985-11-16,Cornell
